TaskID,TaskName,Duration_days,BE_M_h,BE_J_h,FE_J_h,QA_h,PM_h,Predecessors
1,Анализ требований и формирование MVP,3,0,0,0,0,12,0
2,Проектирование архитектуры системы,4,20,0,0,0,10,1
3,Проектирование структуры БД,3,18,0,0,0,2,2
4,Инициализация backend-проекта,2,4,14,0,0,0,2
5,Импорт каталогов из файлов,6,18,30,0,0,2,3|4
6,Парсинг внешних источников,6,28,0,0,0,2,2
7,Нормализация данных автозапчастей,4,20,8,0,0,0,5|6
8,Механизм обновления каталогов,5,16,20,0,0,0,5|6
9,Реализация поиска автозапчастей,4,6,26,0,0,0,7|8
10,Реализация сравнения предложений,4,18,6,0,0,0,9
11,Логика ценообразования,3,16,8,0,0,0,9
12,Проектирование пользовательского интерфейса,3,0,0,18,0,6,1
13,UI загрузки и поиска,5,0,0,32,0,2,9|12
14,UI сравнения предложений,4,0,0,26,0,2,10|13
15,Авторизация и роли,3,6,18,0,0,0,4
16,Логирование и обработка ошибок,3,4,18,0,0,0,4
17,Интеграция frontend и backend,4,6,18,18,0,2,13|15|16|10|11
18,Подготовка тестовых данных,2,0,0,0,14,0,17
19,Функциональное тестирование,4,0,0,0,26,0,18
20,Исправление дефектов,5,10,18,18,0,0,19
21,Пользовательская документация,2,0,0,0,0,10,20
22,Подготовка MVP к демонстрации,2,6,0,6,6,6,21
