TaskID,TaskName,Start_day,End_day,Duration_days,Predecessors,BE_M_h_total,BE_J_h_total,FE_J_h_total,QA_h_total,PM_h_total
1,Анализ требований и формирование MVP,0,3,3,0,0.0,0.0,0.0,0.0,12.0
2,Проектирование архитектуры системы,3,7,4,1,20.0,0.0,0.0,0.0,10.0
12,Проектирование пользовательского интерфейса,3,6,3,1,0.0,0.0,18.0,0.0,6.0
3,Проектирование структуры БД,7,10,3,2,18.0,0.0,0.0,0.0,2.0
4,Инициализация backend-проекта,7,9,2,2,4.0,14.0,0.0,0.0,0.0
5,Импорт каталогов из файлов,10,16,6,3|4,18.0,30.0,0.0,0.0,2.0
6,Парсинг внешних источников,10,16,6,2,28.0,0.0,0.0,0.0,2.0
8,Механизм обновления каталогов,16,21,5,5|6,16.0,20.0,0.0,0.0,0.0
7,Нормализация данных автозапчастей,21,25,4,5|6,20.0,8.0,0.0,0.0,0.0
15,Авторизация и роли,21,24,3,4,6.0,18.0,0.0,0.0,0.0
9,Реализация поиска автозапчастей,25,29,4,7|8,6.0,26.0,0.0,0.0,0.0
10,Реализация сравнения предложений,29,33,4,9,18.0,6.0,0.0,0.0,0.0
16,Логирование и обработка ошибок,29,32,3,4,4.0,18.0,0.0,0.0,0.0
13,UI загрузки и поиска,29,34,5,9|12,0.0,0.0,32.0,0.0,2.0
11,Логика ценообразования,33,36,3,9,16.0,8.0,0.0,0.0,0.0
17,Интеграция frontend и backend,36,40,4,13|15|16|10|11,6.0,18.0,18.0,0.0,2.0
14,UI сравнения предложений,40,44,4,10|13,0.0,0.0,26.0,0.0,2.0
18,Подготовка тестовых данных,40,42,2,17,0.0,0.0,0.0,14.0,0.0
19,Функциональное тестирование,42,46,4,18,0.0,0.0,0.0,26.0,0.0
20,Исправление дефектов,46,51,5,19,10.0,18.0,18.0,0.0,0.0
21,Пользовательская документация,51,53,2,20,0.0,0.0,0.0,0.0,10.0
22,Подготовка MVP к демонстрации,53,55,2,21,6.0,0.0,6.0,6.0,6.0
